ukprn,name,larsCode,registeredAddress,email,telephone,website,trainingOptionsListSnippet,achievementRateListSnippet,ofstedBlurb,listPageUrl
10002639,GATESHEAD COUNCIL,105,"Civic Centre, Regent Street, Gateshead, NE8 1HH",apprenticeships@gateshead.gov.uk,01914338727,https://mylearningskills.co.uk/team-leader-or-supervisor-apprenticeship-level-3-20904,At apprentice's workplace Training at the employer's location. Day release One day a week at the provider's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10002639?distance=10
10027766,EDEN TRAINING SOLUTIONS LIMITED,105,"Wallace House, 4 Falcon Way, Welwyn Garden City, AL7 1TW",enquiries@eden-ts.com,0800 7563985,https://eden-ts.com,At apprentice's workplace Training at the employer's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10027766?distance=10
10006963,NEW CITY COLLEGE,105,"112 Poplar High Street, London, E14 0AF",Apprenticeships@ncclondon.ac.uk,01708462738,https://www.ncclondon.ac.uk/apprenticeships,Day release One day a week at the provider's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10006963?distance=10
10010523,SKILLS FOR SECURITY LIMITED,105,"Axis Building 4, Rhodes Way, Watford, WD24 4YW",info@skillsforsecurity.org.uk,01905744000,https://www.skills4security.com/,Block release Blocks of a week or more at the provider's location. Day release One day a week at the provider's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10010523?distance=10
10040417,PIER TECHNOLOGY LTD,105,"43 Calthorpe Road, Edgbaston, Birmingham, B15 1TS",info@piertraining.co.uk,01217400429,http://piertraining.co.uk/,At apprentice's workplace Training at the employer's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10040417?distance=10
10000238,ALLIANCE LEARNING,105,"The Hurst Building, Horwich Business Park, Chorley New Road, Horwich, Bolton, BL6 5UE",info@alliancelearning.com,01204 677888,https://www.alliancelearning.com/page/team-leading-apprenticeships,Day release One day a week at the provider's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10000238?distance=10
10000850,BRADFORD CITY COUNCIL,105,"City Hall, Centenary Square, Bradford, BD1 1HY",businessdevelopment@bradford.gov.uk,01274433648,https://www.skills-for-work.co.uk/,At apprentice's workplace Training at the employer's location. Day release One day a week at the provider's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10000850?distance=10
10001869,DAVIDSON TRAINING UK LIMITED,105,"Unit 51, Rectory Road, Globe Industrial Estate, Grays, RM17 6ST",lorrainebunyard@davidsontraining.com,01508 493639 / 07951 480169,https://www.davidsontraining.org/_files/ugd/7f7e70_2653cbe4e0f945c5a3f34d8cd84cb54e.pdf,At apprentice's workplace Training at the employer's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10001869?distance=10
10001000,BURNLEY COLLEGE,105,"Princess Way, Burnley, BB12 0AN",Themis@burnley.ac.uk,01282 733005,https://www.instituteforapprenticeships.org/apprenticeship-standards/team-leader-or-supervisor-v1-2,Day release One day a week at the provider's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10001000?distance=10
10004552,NELSON AND COLNE COLLEGE,105,"Scotland Road, Nelson, BB9 7YT",apprenticeships@nelsongroup.ac.uk,01282440319,https://www.accross.ac.uk/apprenticeship/business-and-professional-services-apprenticeships/,At apprentice's workplace Training at the employer's location. Day release One day a week at the provider's location.,100% (out of 10 apprentices),,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10004552?distance=10
